"SIG_CD","SIG_ENG_NM","year","COavg","NO2avg","O3avg","PM10avg","SO2avg","PM25avg","PM10freq","PM10freqUS","PM10xtrm","PM10xtrmUS","PM10hrs","avghrs","tavg","tmin","tmax","ppt","wmax","wavg","huminavg","sunsum"
26410,"Geumjeong-gu",2014,0.446824339731491,0.021612951110779,0.0264634705051279,47.4628281627244,0.00540357467795797,NA,25,1,1,0,827,2.26575342465753,14.6939726027397,10.1465753424658,20.1575342465753,1789.8,5.36958904109589,2.42602739726027,62.4438356164384,2339.1
26410,"Geumjeong-gu",2015,0.424925303907395,0.0208870970669634,0.0266092223322257,45.2995507348742,0.00519909669224979,25.4210410128754,21,1,1,0,751,2.05753424657534,14.9983561643836,10.4197260273973,20.4575342465753,1269.2,5.22438356164384,2.38684931506849,62.9161643835616,2355.2
26410,"Geumjeong-gu",2016,0.426381206307536,0.0223277764263912,0.0277349813509656,44.2633576695044,0.00454735777777335,25.7266839468522,20,2,2,0,569,1.55464480874317,15.3363387978142,10.8265027322404,20.7081967213115,2016.7,5.0879781420765,2.25273224043716,65.8751366120219,2165.5
26410,"Geumjeong-gu",2017,0.400012563402991,0.0208660663030317,0.0313148849363978,43.5368287294928,0.00428275926633717,25.1210149088224,11,0,0,0,418,1.14520547945205,15.1841095890411,10.127397260274,21.0972602739726,765,5.14493150684932,2.32602739726027,65.1213698630137,2468.5
26410,"Geumjeong-gu",2018,0.410145800469247,0.019326025109133,0.0282737571454208,41.5801666968496,0.00450768205770147,25.1210149088224,14,1,1,0,573,1.56986301369863,14.8753424657534,10.1016438356164,20.5906849315068,1596.4,5.01123287671233,2.31178082191781,67.8024657534247,2282.9
26410,"Geumjeong-gu",2019,0.404338300998197,0.0182515821685853,0.0302582100384437,36.2617709484312,0.00400048441406012,20.3549820789454,9,0,0,0,260,0.712328767123288,15.4969863013699,10.6594520547945,21.3745205479452,1543.4,4.85013698630137,2.12301369863014,67.1465753424658,2264.7
26410,"Geumjeong-gu",2020,0.394919419898731,0.0163678201285999,0.0307471810775019,29.4718346140301,0.00322272719477603,16.2924354998734,1,0,0,0,80,0.218579234972678,15.0658469945355,10.4590163934426,20.6825136612022,1897.4,4.90327868852459,2.21967213114754,67.694262295082,2131.8
26410,"Geumjeong-gu",2021,0.36185970331098,0.0159333209264974,0.0318578886327446,28.9564825054652,0.00272722229130283,14.518141346554,6,2,2,1,184,0.504109589041096,15.4583561643836,10.7561643835616,21.1391780821918,1733.4,4.84164383561644,2.18849315068493,69.6150684931507,2131.7
26440,"Gangseo-gu",2001,0.754970200608359,0.0265088697785234,0.0252472718776886,56.3248967387803,0.00730247799225911,NA,44,4,6,0,1197,3.27945205479452,15.3715068493151,12.047397260274,19.9923287671233,1171.3,6.88246575342466,3.60493150684932,64.6145205479452,2065.9
26440,"Gangseo-gu",2002,0.689940755914426,0.0258864025472235,0.0245728658205286,63.652257367464,0.00640245126396946,NA,69,7,8,2,1663,4.55616438356164,14.7120547945205,11.4619178082192,18.9139726027397,2087.4,7.43150684931507,3.86684931506849,64.0446575342466,2023.9
26440,"Gangseo-gu",2003,0.645945860951338,0.0249078323428699,0.0247177285392731,53.6607319928013,0.00627418637366937,NA,50,0,0,0,1294,3.54520547945205,14.3386301369863,11.1824657534247,18.5076712328767,2328.8,6.58465753424657,3.18630136986301,65.3024657534247,1845.8
26440,"Gangseo-gu",2004,0.595917700262823,0.0236575357851256,0.0256063389698903,60.8687017223887,0.00696079324595357,NA,58,1,1,0,1706,4.66120218579235,14.9010928961749,11.4953551912568,19.3210382513661,1399,6.55792349726776,3.09180327868852,59.9625683060109,2409.7
26440,"Gangseo-gu",2005,0.526758685051092,0.022501525801706,0.023199684807297,61.9077685015012,0.00632247642420495,NA,76,1,1,0,2006,5.4958904109589,13.8832876712329,10.5564383561644,18.1898630136986,1392.1,6.42684931506849,3.04465753424658,59.6397260273973,2416.2
26440,"Gangseo-gu",2006,0.479033562114789,0.0230453036803405,0.0239353015078135,61.2752684759486,0.00528597638408632,NA,73,7,7,1,1844,5.05205479452055,14.7139726027397,11.4531506849315,18.9216438356164,1574.8,6.53506849315068,3.09232876712329,62.3547945205479,2197.9
26440,"Gangseo-gu",2007,0.446021611583222,0.0213204235369821,0.0259238441753068,58.8929906778782,0.00580917810245878,NA,63,4,4,1,1499,4.10684931506849,15.3353424657534,12.4142465753425,19.1558904109589,1285.6,6.78219178082192,3.27041095890411,61.5328767123288,2189.2
26440,"Gangseo-gu",2008,0.438149566546716,0.0209696334537644,0.0258562848767499,52.9834860477928,0.00558125353762166,NA,40,2,3,1,1120,3.06010928961749,14.6251366120219,10.8833333333333,19.203825136612,917.8,4.42513661202186,1.77213114754098,55.2314207650273,1970.2
26440,"Gangseo-gu",2009,0.416367457042779,0.0207923577084284,0.0262520265915522,52.7415769924559,0.00494231256300557,NA,46,1,1,0,1150,3.15068493150685,15.8567123287671,11.7487671232877,20.8772602739726,1410.6,5.1586301369863,2.18849315068493,59.7517808219178,2204.2
26440,"Gangseo-gu",2010,0.402140774506915,0.0202301534988908,0.0256456336600801,52.7906861229955,0.00525316167682557,NA,41,3,3,0,1126,3.08493150684932,15.5172602739726,11.3476712328767,20.4128767123288,1361.4,5.26520547945205,2.13808219178082,62.3306849315069,2377.3
26440,"Gangseo-gu",2011,0.38679009199615,0.0185677003898047,0.0264027977421623,52.145594249556,0.00582829425477885,NA,33,3,4,1,1020,2.79452054794521,15.2967123287671,11.3041095890411,20.1728767123288,1551.3,5.21561643835616,2.27013698630137,60.6465753424658,2186.4
26440,"Gangseo-gu",2012,0.405267548844571,0.0186789462304,0.0293317860942761,48.8995267824714,0.00596551589662712,NA,24,0,0,0,788,2.15300546448087,14.6098360655738,10.6327868852459,19.5071038251366,1457.6,5.47622950819672,2.28142076502732,58.0251366120219,2494.7
26440,"Gangseo-gu",2013,0.415611513982325,0.0187838637080446,0.0284389750364517,52.9230566623869,0.00649769838591167,NA,41,1,1,0,1065,2.91780821917808,14.9923287671233,10.6139726027397,20.3693150684932,1063.1,5.39945205479452,2.26767123287671,57.8772602739726,2696.4
26440,"Gangseo-gu",2014,0.398013328509886,0.0178414256463831,0.0294661703662514,51.8915915071571,0.00566326673659153,NA,34,1,1,0,1106,3.03013698630137,14.807397260274,10.7049315068493,20.0772602739726,1660.3,4.96904109589041,1.99479452054795,59.8967123287671,2435.3
26440,"Gangseo-gu",2015,0.404271844405916,0.0195136039907231,0.028829325033763,46.9182970998141,0.00598905526936324,26.6617329311452,26,1,1,0,777,2.12876712328767,15.3660273972603,11.2493150684931,20.7030136986301,1039.3,5.00191780821918,2.03315068493151,60.5871232876712,2411
26440,"Gangseo-gu",2016,0.414485380546189,0.0223788920735057,0.0283395025288718,44.9446109858728,0.00512732698218264,27.6096940498698,24,2,2,0,677,1.84972677595628,15.4469945355191,11.4415300546448,20.6729508196721,1666.2,5.0775956284153,2.07513661202186,66.4103825136612,2295.7
26440,"Gangseo-gu",2017,0.376192810719779,0.0204591202620131,0.0309343266886608,43.2686583837052,0.00453261293655147,25.8025029554291,11,0,0,0,464,1.27123287671233,14.6493150684932,10.1569863013699,20.2112328767123,758.1,5.28767123287671,2.18246575342466,62.6112328767123,2660.7
26440,"Gangseo-gu",2018,0.386670795061639,0.0208241889476184,0.0291683510306821,42.5458200480177,0.00488740955447404,25.8025029554291,20,1,1,0,620,1.6986301369863,14.8747945205479,10.5947945205479,20.3421917808219,1475.9,4.9427397260274,2.12575342465753,65.3821917808219,2588.8
