"SIG_CD","SIG_ENG_NM","year","COavg","NO2avg","O3avg","PM10avg","SO2avg","PM10freq","PM10freqUS","PM10xtrm","PM10xtrmUS","PM10hrs","avghrs","tavg","tmin","tmax","ppt","wmax","wmaxd","wavg","huminavg","sunsum"
30200,"Yuseong-gu",2005,0.657672650197377,0.017625918336568,0.0223933231815227,51.155242041793,0.00481084749813278,43,2,2,0,1098,3.00821917808219,12.4043835616438,7.8772602739726,17.5246575342466,1674.1,4.99479452054794,238.657534246575,1.96383561643836,63.3901369863014,2144.4
30200,"Yuseong-gu",2006,0.64492569649622,0.0178823456808775,0.0210583266120857,52.0185758359548,0.00450455743735853,49,3,3,1,1337,3.66301369863014,13.1509589041096,8.59972602739726,18.3471232876712,1223.9,4.36493150684931,222.931506849315,1.79068493150685,67.0087671232877,1990.5
30200,"Yuseong-gu",2007,0.698050506765063,0.0182353845864431,0.0190724014981807,52.0235975369093,0.00520835213154749,51,3,3,1,1271,3.48219178082192,13.3219178082192,8.92904109589041,18.4841095890411,1793,4.33397260273973,223.506849315069,1.78821917808219,67.5687671232877,1914.8
30200,"Yuseong-gu",2008,0.578728834715031,0.0201718336474206,0.0249785432878137,48.1000388374456,0.0043617631746084,33,2,3,0,861,2.35245901639344,13.022131147541,8.35491803278689,18.351912568306,1065.9,4.40191256830601,214.398907103825,1.81092896174863,63.4172131147541,2117.9
30200,"Yuseong-gu",2009,0.530120871594968,0.0206687347886873,0.0243605289883709,47.8155999996456,0.00439358311790677,35,3,3,0,964,2.64109589041096,12.8449315068493,7.98164383561644,18.2430136986301,1094.6,4.35698630136986,233.315068493151,1.80547945205479,63.4997260273973,2180.4
30200,"Yuseong-gu",2010,0.507805627273957,0.0206153818152433,0.0222072133251964,47.9279989588797,0.00374922884027943,38,4,4,0,1009,2.76438356164384,12.7065753424658,8.22027397260274,17.7643835616438,1433.5,4.43369863013699,217.945205479452,1.75808219178082,66.4627397260274,1985.3
30200,"Yuseong-gu",2011,0.50146095107982,0.0193532493605077,0.0227923527231164,47.9842313500636,0.00379457562345021,26,5,5,0,792,2.16986301369863,12.6147945205479,8.25753424657534,17.6391780821918,1946,4.33479452054794,223.72602739726,1.77178082191781,64.3161643835616,2048.7
30200,"Yuseong-gu",2012,0.48604266944863,0.0205783100914666,0.0246956293473304,41.4606194746585,0.00358268301860281,14,0,0,0,522,1.42622950819672,12.6437158469945,8.13196721311475,17.679781420765,1431.7,4.34016393442623,223.032786885246,1.79153005464481,67.8295081967213,2367.6
30200,"Yuseong-gu",2013,0.473865661402144,0.0195981837182094,0.0249116447122131,43.3679982995641,0.00331726498867488,26,0,0,0,725,1.98630136986301,13.1454794520548,8.48109589041096,18.3649315068493,1127.4,4,230.575342465753,1.56904109589041,72.9556164383562,2513.1
30200,"Yuseong-gu",2014,0.501104399678093,0.0178630015885836,0.0258010164337874,42.8174044840466,0.00333909351514416,24,0,1,0,771,2.11232876712329,13.4980821917808,8.82328767123288,18.8860273972603,1133.2,3.97095890410959,213.178082191781,1.53780821917808,72.3534246575342,2378.3
30200,"Yuseong-gu",2015,0.474206035136063,0.0183128682346466,0.0254303377574187,45.3379001705871,0.00311557035761606,29,1,1,0,800,2.19178082191781,14.018904109589,9.27369863013699,19.458904109589,828.8,3.93671232876712,213.917808219178,1.52986301369863,69.9345205479452,2417.9
30200,"Yuseong-gu",2016,0.472023696144947,0.0185399675567676,0.0285904761601059,43.4670842548186,0.00293821656142357,18,1,2,0,618,1.68852459016393,14.0530054644809,9.41010928961749,19.4300546448087,1284.6,3.83497267759563,217.049180327869,1.47868852459016,69.8226775956284,2440.1
30200,"Yuseong-gu",2017,0.454938878213667,0.0168062732929049,0.030138841460884,44.8762482853459,0.00286007564888275,14,2,2,0,531,1.45479452054795,13.4602739726027,8.56164383561644,18.9942465753425,1131.7,4.01534246575342,231.123287671233,1.54767123287671,68.0517808219178,2632
30200,"Yuseong-gu",2018,0.440512845274476,0.0172918860588484,0.0277988685238399,42.9387926707762,0.00260412748970569,21,1,1,0,638,1.74794520547945,13.6035616438356,8.8558904109589,19.052602739726,1578.9,3.93178082191781,217.232876712329,1.54794520547945,68.9701369863014,2542.1
30230,"Daedeok-gu",2001,0.895986369727522,0.0251235536080161,0.0204267751936621,57.5950441204857,0.00659393325938951,60,6,7,0,1492,4.08767123287671,13.1068493150685,8.2241095890411,18.8123287671233,842.2,4.94602739726027,232.191780821918,2.08657534246575,65.2290410958904,2233.6
30230,"Daedeok-gu",2002,0.783746028900973,0.021602721680278,0.0181314318492539,59.6574566255485,0.00517025057300113,45,7,7,4,1334,3.65479452054795,13.3857534246575,8.84602739726027,18.4764383561644,1391.2,5.43369863013699,234.958904109589,2.16876712328767,66.6778082191781,2058
30230,"Daedeok-gu",2003,0.732467130094559,0.0196712668521516,0.0179099935587426,49.9632736638078,0.00493603075375417,30,0,0,0,1098,3.00821917808219,13.2753424657534,8.95643835616438,18.0164383561644,1749.9,5.29643835616438,227.698630136986,2.14,68.9964383561644,1838.9
30230,"Daedeok-gu",2004,0.680391137025069,0.0218304926084717,0.0193258915158398,52.5375137484375,0.00532979633859646,43,2,2,0,1213,3.31420765027322,13.8814207650273,9.11939890710383,19.2734972677596,1532.3,4.47978142076503,221.72131147541,1.73934426229508,63.3997267759563,2198.3
30230,"Daedeok-gu",2005,0.683867988072135,0.0193797465953412,0.0203879167509108,50.9866377335893,0.00516300295853215,39,2,2,0,1086,2.97534246575342,12.4043835616438,7.8772602739726,17.5246575342466,1699.1,4.99479452054794,238.657534246575,1.96383561643836,63.3901369863014,2144.4
30230,"Daedeok-gu",2006,0.661432116191834,0.0196519853726142,0.018520649367169,51.7701200277334,0.00493873600108619,49,3,4,1,1335,3.65753424657534,13.1509589041096,8.59972602739726,18.3471232876712,1223.3,4.36493150684931,222.931506849315,1.79068493150685,67.0087671232877,1990.5
30230,"Daedeok-gu",2007,0.713997149271067,0.0192602715802021,0.0180706828715646,52.0180265695412,0.00590407414521706,51,3,3,1,1311,3.59178082191781,13.3219178082192,8.92904109589041,18.4841095890411,1784.8,4.33397260273973,223.506849315069,1.78821917808219,67.5687671232877,1914.8
30230,"Daedeok-gu",2008,0.594684640935274,0.0195688395990603,0.0223400759202314,49.2176935986138,0.00492125986714591,33,2,2,0,957,2.61475409836066,13.022131147541,8.35491803278689,18.351912568306,1068.5,4.40191256830601,214.398907103825,1.81092896174863,63.4172131147541,2117.9
30230,"Daedeok-gu",2009,0.538094503775018,0.0218010856872754,0.0225999780348646,46.6927101682519,0.00526607324583125,33,3,3,0,891,2.44109589041096,12.8449315068493,7.98164383561644,18.2430136986301,1095.7,4.35698630136986,233.315068493151,1.80547945205479,63.4997260273973,2180.4
30230,"Daedeok-gu",2010,0.521568102644683,0.0225656656857835,0.020896037753849,47.7441889205182,0.00429515555042457,40,4,5,0,1005,2.75342465753425,12.7065753424658,8.22027397260274,17.7643835616438,1426.9,4.43369863013699,217.945205479452,1.75808219178082,66.4627397260274,1985.3
30230,"Daedeok-gu",2011,0.510371226389084,0.0217767139624865,0.021407577934809,48.2760277228182,0.00430493627743926,31,5,6,0,857,2.34794520547945,12.6147945205479,8.25753424657534,17.6391780821918,1958.2,4.33479452054794,223.72602739726,1.77178082191781,64.3161643835616,2048.7
30230,"Daedeok-gu",2012,0.493328740039131,0.0218878897745283,0.0234308832706682,43.1962978090705,0.00416041605022429,17,0,0,0,616,1.68306010928962,12.6437158469945,8.13196721311475,17.679781420765,1432.7,4.34016393442623,223.032786885246,1.79153005464481,67.8295081967213,2367.6
30230,"Daedeok-gu",2013,0.483186531085896,0.022426491393279,0.0235916510433477,45.9806261079302,0.00407162471318076,32,1,1,0,844,2.31232876712329,13.1454794520548,8.48109589041096,18.3649315068493,1128.1,4,230.575342465753,1.56904109589041,72.9556164383562,2513.1
30230,"Daedeok-gu",2014,0.503406254771912,0.0203172105927293,0.0250823067726426,44.7447455707819,0.00439933087375566,24,0,1,0,871,2.38630136986301,13.4980821917808,8.82328767123288,18.8860273972603,1126.1,3.97095890410959,213.178082191781,1.53780821917808,72.3534246575342,2378.3
30230,"Daedeok-gu",2015,0.475213465523508,0.0192010217163783,0.0239316771610159,48.0820318722062,0.0040174180332781,34,1,1,0,986,2.7013698630137,14.018904109589,9.27369863013699,19.458904109589,831.7,3.93671232876712,213.917808219178,1.52986301369863,69.9345205479452,2417.9
30230,"Daedeok-gu",2016,0.474577527274664,0.0200850567267886,0.0270734445557357,45.2120774706941,0.00368201746560239,23,1,3,0,773,2.1120218579235,14.0530054644809,9.41010928961749,19.4300546448087,1260.8,3.83497267759563,217.049180327869,1.47868852459016,69.8226775956284,2440.1
30230,"Daedeok-gu",2017,0.46086523644193,0.0191850748441419,0.0276519211320001,46.0547426663654,0.00338308257035089,16,2,2,0,624,1.70958904109589,13.4602739726027,8.56164383561644,18.9942465753425,1139.2,4.01534246575342,231.123287671233,1.54767123287671,68.0517808219178,2632
30230,"Daedeok-gu",2018,0.443211358938844,0.0206035611586549,0.0263810525157024,45.7701372367564,0.00289600147202944,32,1,1,0,958,2.62465753424658,13.6035616438356,8.8558904109589,19.052602739726,1577.3,3.93178082191781,217.232876712329,1.54794520547945,68.9701369863014,2542.1
31110,"Jung-gu",2001,0.734598973056707,0.022060301615132,0.0188831940394658,53.9020860829712,0.00859758397137553,43,2,3,0,1138,3.11780821917808,14.6846575342466,10.5616438356164,19.481095890411,871.7,4.60547945205479,203.178082191781,1.89232876712329,57.8446575342466,2320.1
31110,"Jung-gu",2002,0.660641893215022,0.0205609905983518,0.020327473170146,55.1704000546042,0.007410218250515,44,6,6,3,1181,3.23561643835616,14.4742465753425,10.2654794520548,19.3013698630137,1562.4,4.0041095890411,199.315068493151,1.6186301369863,58.7361643835616,2252.4
31110,"Jung-gu",2003,0.671051735389043,0.0184891590760342,0.0196306933513727,43.9658245697288,0.0075800547971631,15,0,0,0,469,1.28493150684932,14.3106849315068,10.3427397260274,19.0882191780822,1872.9,5.23013698630137,193.013698630137,2.21835616438356,62.2778082191781,1965.5
31110,"Jung-gu",2004,0.598409852393687,0.0212626983257183,0.0211059588929532,52.126433097246,0.00739019574162229,36,0,0,0,958,2.61748633879781,15.2420765027322,10.716393442623,20.4937158469945,1266.3,5.35546448087432,189.098360655738,2.26748633879781,57.246174863388,2361.6
31110,"Jung-gu",2005,0.519120119483431,0.0235819410924675,0.0213057231743717,50.8669322511622,0.00598211714897401,48,0,0,0,1213,3.32328767123288,14.3054794520548,10.0208219178082,19.4095890410959,1154.6,5.48164383561644,207.58904109589,2.37534246575342,57.2991780821918,2325.9
31110,"Jung-gu",2006,0.462449920952187,0.0215747628441151,0.019198071979079,52.2503877651117,0.00572289274612661,44,6,6,2,1189,3.25753424657534,14.6597260273973,10.493698630137,19.6164383561644,1412.6,5.27808219178082,194.684931506849,2.22246575342466,61.7980821917808,2126.5
31110,"Jung-gu",2007,0.467473311982857,0.0233497032086482,0.0186248522339754,52.2880516409946,0.00577496690479891,44,3,3,1,1152,3.15616438356164,15.0347945205479,10.8797260273973,19.9624657534247,1143.7,5.35808219178082,171.287671232877,2.14657534246575,66.1871232876712,2083.1
31110,"Jung-gu",2008,0.498671329860158,0.0243593710960084,0.0222667292600175,52.5078911367295,0.0060231826900216,41,2,2,0,1253,3.42349726775956,14.2125683060109,10.0095628415301,19.3204918032787,1114.4,5.41366120218579,172.049180327869,2.11010928961749,65.6642076502732,2307.9
31110,"Jung-gu",2009,0.466450887177994,0.0229251105187458,0.0229591268189295,48.8575826862844,0.00564121073013012,37,1,1,0,1008,2.76164383561644,14.3120547945205,10.0547945205479,19.5243835616438,1149.7,5.60958904109589,172.739726027397,2.2213698630137,64.4413698630137,2240.9
31110,"Jung-gu",2010,0.457720421297043,0.0232319429368883,0.0219065317172255,48.1772363599347,0.00588239196015202,36,3,3,0,960,2.63013698630137,14.0676712328767,9.77643835616438,19.2090410958904,1251,5.56630136986301,172.657534246575,2.26301369863014,66.1353424657534,2231.5
31110,"Jung-gu",2011,0.476774128591161,0.0227852730417401,0.0234177894085528,48.4181145495999,0.00540965469738094,33,3,3,1,986,2.7013698630137,13.74,9.45424657534247,18.7950684931507,1255.3,5.68547945205479,180.164383561644,2.36767123287671,65.3380821917808,2225
31110,"Jung-gu",2012,0.503570609636595,0.0229965816944341,0.0251818089044273,45.0065914043928,0.0057019797764791,22,0,0,0,699,1.90983606557377,13.7549180327869,9.66994535519126,18.7046448087432,1474,5.50054644808743,177.349726775956,2.29781420765027,63.3603825136612,2288.9
31110,"Jung-gu",2013,0.501530079411633,0.0249921418738194,0.0261046470625935,47.7236690464628,0.00666827408393706,29,0,0,0,919,2.51780821917808,14.8704109589041,10.3191780821918,20.292602739726,893.9,5.0627397260274,189.753424657534,2.05260273972603,60.0975342465753,2376
